carnet,terraform,helm,gitops,rollouts,validacion,seguridad,total60,eliminatorios
202012345,0,0,0,0,0,3,3," repo-codigo repo-gitops readme sin-workflows sin-app-argocd sin-rollout"
201901385,8,6,2,6,6,5,33," readme despliegue-directo no-synced no-healthy"
201901385,8,6,12,11,8,5,50,"ninguno"
201901385,8,6,12,11,8,5,50," secretos-planos"
201901385,8,6,14,11,8,5,52," secretos-planos"
201901385,8,6,14,11,8,6,53,"ninguno"
201901385,8,6,12,14,8,6,54," no-healthy"
201901385,8,6,12,14,8,6,54," no-healthy"
201901385,8,6,9,14,8,6,51," no-synced no-healthy"
201901385,8,6,14,14,8,6,56,"ninguno"
201901385,8,6,14,14,8,6,56,"ninguno"
201901385,8,6,14,14,8,8,58,"ninguno"
201901385,8,8,14,14,8,8,60,"ninguno"
201901385,8,8,14,14,8,6,58,"ninguno"
201901385,8,8,14,14,8,6,58,"ninguno"
201901385,8,8,14,14,8,6,58,"ninguno"
201901385,8,8,14,14,8,6,58,"ninguno"
201901385,8,8,14,14,8,6,58,"ninguno"
